"","TITULO","ABSTRACT","OWASP","CWE","URL"
"125"," Trust Boundary Violation","  Commingling trusted and untrusted data in the same data structure encourages programmers to mistakenly trust unvalidated data.",NA,"501","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/trust_boundary_violation.html"
"126"," Unsafe Mobile Code: Access Violation","  The program violates secure coding principles for mobile code by returning a <code>private</code> array variable from a <code>public</code> access method. ",NA,"495","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_access_violation.html"
"127"," Unsafe Mobile Code: Database Access","  Applets that perform JDBC database operations in an untrusted environment can compromise database credentials.",NA,"305","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_database_access.html"
"128"," Unsafe Mobile Code: Inner Class","  The program violates secure coding principles for mobile code by making use of an inner class.",NA,"492","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_inner_class.html"
"129"," Unsafe Mobile Code: Public finalize() Method","  The program violates secure coding principles for mobile code by declaring a <code>finalize()</code>method <code>public</code>.",NA,"583","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_public_finalize_method.html"
"130"," Unsafe Mobile Code: Unsafe Array Declaration","  The program violates secure coding principles for mobile code by declaring an array <code>public</code>, <code>final</code> and <code>static</code>.",NA,"582","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_unsafe_array_declaration.html"
"131"," Unsafe Mobile Code: Unsafe Public Field","  The program violates secure coding principles for mobile code by declaring a member variable <code>public</code> but not <code>final</code>. ",NA,"493","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/unsafe_mobile_code_unsafe_public_field.html"
"132"," Android Misconfiguration: Debug Information","  Debugging messages help attackers learn about the system and plan a form of attack.","A5 Security Misconfiguration","11","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/android_misconfiguration_debug_information.html"
"133"," Axis 2 Misconfiguration: Debug Information","  The SOAP Monitor module allows attackers to sniff SOAP traffic.","A5 Security Misconfiguration","215","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_misconfiguration_debug_information.html"
"134"," Axis 2 Misconfiguration: Insecure Message Security","  Apache Axis 2 is configured to use REST, and REST does not have message security standards.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_misconfiguration_insecure_message_security.html"
"135"," Axis 2 Service Provider Misconfiguration: Inbound WS-Security Not Enabled","  Service providers that don't require WS-Security might not be able to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_inbound_ws-security_not_enabled.html"
"136"," Axis 2 Service Provider Misconfiguration: Missing Inbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_inbound_encryption.html"
"137"," Axis 2 Service Provider Misconfiguration: Missing Inbound Signature","  If a message is not signed, the integrity the message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_inbound_signature.html"
"138"," Axis 2 Service Provider Misconfiguration: Missing Inbound Timestamp","  A missing timestamp leaves SOAP messages open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_inbound_timestamp.html"
"139"," Axis 2 Service Provider Misconfiguration: Missing Outbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_outbound_encryption.html"
"140"," Axis 2 Service Provider Misconfiguration: Missing Outbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_outbound_signature.html"
"141"," Axis 2 Service Provider Misconfiguration: Missing Outbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_missing_outbound_timestamp.html"
"142"," Axis 2 Service Provider Misconfiguration: Outbound WS-Security Not Enabled","  Service providers that don't use WS-Security might not be able to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_outbound_ws-security_not_enabled.html"
"143"," Axis 2 Service Provider Misconfiguration: Unsigned Inbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_unsigned_inbound_timestamp.html"
"144"," Axis 2 Service Provider Misconfiguration: Unsigned Outbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_unsigned_outbound_timestamp.html"
"145"," Axis 2 Service Provider Misconfiguration: WS-Security Not Enabled","  Turning off WS-Security makes it hard to guarantee message integrity and confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_ws-security_not_enabled.html"
"146"," Axis 2 Service Provider Misconfiguration: Weak Token","  Using a UsernameToken with a plaintext password over an unencrypted channel exposes the password to attackers who can sniff the SOAP messages.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_provider_misconfiguration_weak_token.html"
"147"," Axis 2 Service Requester Misconfiguration: Inbound WS-Security Not Enabled","  Service providers that don't use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_inbound_ws-security_not_enabled.html"
"148"," Axis 2 Service Requester Misconfiguration: Missing Inbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_inbound_encryption.html"
"149"," Axis 2 Service Requester Misconfiguration: Missing Inbound Signature","  The lack of a signature means the integrity of SOAP messages cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_inbound_signature.html"
"150"," Axis 2 Service Requester Misconfiguration: Missing Inbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_inbound_timestamp.html"
"151"," Axis 2 Service Requester Misconfiguration: Missing Outbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_outbound_encryption.html"
"152"," Axis 2 Service Requester Misconfiguration: Missing Outbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_outbound_signature.html"
"153"," Axis 2 Service Requester Misconfiguration: Missing Outbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_missing_outbound_timestamp.html"
"154"," Axis 2 Service Requester Misconfiguration: Outbound WS-Security Not Enabled","  Service providers that don't use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_outbound_ws-security_not_enabled.html"
"155"," Axis 2 Service Requester Misconfiguration: Plain Text Password","  Avoid the WS-Security password type <code>PasswordText</code>.","A6 Sensitive Data Exposure","522","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_plain_text_password.html"
"156"," Axis 2 Service Requester Misconfiguration: Unsigned Inbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_unsigned_inbound_timestamp.html"
"157"," Axis 2 Service Requester Misconfiguration: Unsigned Outbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_unsigned_outbound_timestamp.html"
"158"," Axis 2 Service Requester Misconfiguration: WS-Security Not Enabled","  Turning off WS-Security makes it hard to guarantee message integrity and confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_ws-security_not_enabled.html"
"159"," Axis 2 Service Requester Misconfiguration: Weak Token","  Using a UsernameToken with a plaintext password over an unencrypted channel exposes the password to attackers who can sniff the SOAP messages.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis2_service_requester_misconfiguration_weak_token.html"
"160"," Axis Misconfiguration: Debug Information","  Debugging information helps attackers learn about the system and plan a form of attack.","A5 Security Misconfiguration","215","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_misconfiguration_debug_information.html"
"161"," Axis Misconfiguration: Service Enumeration","  Publicly exposing information about a service can provide attackers with valuable insight into how they might exploit the service.","A5 Security Misconfiguration","651","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_misconfiguration_service_enumeration.html"
"162"," Axis Service Provider Misconfiguration: Plain Text Password","  Avoid the WS-Security password type <code>PasswordText</code>.","A6 Sensitive Data Exposure","522","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_service_provider_misconfiguration_plain_text_password.html"
"163"," Axis Service Provider Misconfiguration: Weak Token","  Using a UsernameToken with a plaintext password over an unencrypted channel exposes the password to attackers who can sniff the SOAP messages.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_service_provider_misconfiguration_weak_token.html"
"164"," Axis Service Requester Misconfiguration: Plain Text Password","  Avoid the WS-Security password type <code>PasswordText</code>.","A6 Sensitive Data Exposure","522","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_service_requester_misconfiguration_plain_text_password.html"
"165"," Axis Service Requester Misconfiguration: Weak Token","  Using a UsernameToken with a plaintext password over an unencrypted channel exposes the password to attackers who can sniff the SOAP messages.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/axis_service_requester_misconfiguration_weak_token.html"
"166"," Build Misconfiguration: Dynamic Dependency Version Usage","  Retrieving build dependencies using a dynamic version can leave the build system vulnerable to malicious binaries or cause the system to experience unexpected behavior.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/build_misconfiguration_dynamic_dependency_version.html"
"167"," Build Misconfiguration: External Ant Dependency Repository","  This ant build script relies on external sources, which could allow an attacker to insert malicious code into the final product or to take control of the build machine.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/build_misconfiguration_external_ant_dependency_repository.html"
"168"," Build Misconfiguration: External Ivy Dependency Repository","  This ant build script relies on external sources, which could allow an attacker to insert malicious code into the final product or to take control of the build machine.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/build_misconfiguration_external_ivy_dependency_repository.html"
"169"," Build Misconfiguration: External Maven Dependency Repository","  This maven build script relies on external sources, which could allow an attacker to insert malicious code into the final product or to take control of the build machine.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/build_misconfiguration_external_maven_dependency_repository.html"
"170"," ClassLoader Manipulation: Struts 1","  Struts 1 applications that use <code>ActionForms</code> are vulnerable to ClassLoader manipulation.","A4 Insecure Direct Object References","470","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/classloader_manipulation_struts_one.html"
"171"," Flex Misconfiguration: Debug Information","  Debugging information helps attackers learn about the system and plan a form of attack.","A5 Security Misconfiguration","11","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/flex_misconfiguration_debug_information.html"
"172"," J2EE Misconfiguration: Cookies Disabled","  The program does not use cookies to transmit session identifiers, which can leave the door open to Session Fixation and Session Hijacking attacks.","A2 Broken Authentication and Session Management","384","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_cookies_disabled.html"
"173"," J2EE Misconfiguration: Debug Information","  A Tomcat debug level of 3 or greater could cause sensitive data, including passwords, to be logged.","A5 Security Misconfiguration","215","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_debug_information.html"
"174"," J2EE Misconfiguration: Direct JSP Access","  Direct access to Java Server Pages can lead to system information leak, source code disclosure and even arbitrary code execution.","A5 Security Misconfiguration","497","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_direct_jsp_access.html"
"175"," J2EE Misconfiguration: Duplicate Security Role","  Multiple security roles with the same name exist. Duplicate security roles often indicate left over debug code or a typographical error.","A5 Security Misconfiguration","398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_duplicate_security_role.html"
"176"," J2EE Misconfiguration: Duplicate Servlet Mapping","  Multiple servlet mappings for the same URL pattern exist. Duplicate servlet mappings often indicate left over debug code or a typographical error.","A5 Security Misconfiguration","398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_duplicate_servlet_mapping.html"
"177"," J2EE Misconfiguration: Excessive Servlet Mappings","  Multiple URL patterns map to a single Servlet, which often indicates poor a architecture or a lack of standardization.","A5 Security Misconfiguration","398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_excessive_servlet_mappings.html"
"178"," J2EE Misconfiguration: Excessive Session Timeout","  An overly long session timeout gives attackers more time to potentially compromise user accounts.","A2 Broken Authentication and Session Management","613","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_excessive_session_timeout.html"
"179"," J2EE Misconfiguration: Incomplete Error Handling","  A web application must define default error pages in order to prevent attackers from mining information from the application container's built-in error response.","A5 Security Misconfiguration","7","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_incomplete_error_handling.html"
"180"," J2EE Misconfiguration: Incomplete Error Handling - (404)","  A web application must define a default error page for 404 errors to prevent attackers from mining information from the application container's built-in error response.","A5 Security Misconfiguration","7","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_incomplete_error_handling_abs_404.html"
"181"," J2EE Misconfiguration: Incomplete Error Handling - (500)","  A web application must define a default error page for 500 errors to prevent attackers from mining information from the application container's built-in error response.","A5 Security Misconfiguration","7","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_incomplete_error_handling_abs_500.html"
"182"," J2EE Misconfiguration: Incomplete Error Handling - (throwable)","  A web application must define a default error page for <code>java.lang.Throwable</code> to handle any uncaught exceptions in order to prevent attackers from mining information from the application container's built-in error response.","A5 Security Misconfiguration","7","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_incomplete_error_handling_abs_throwable.html"
"183"," J2EE Misconfiguration: Insufficient Session-ID Length","  Session identifiers should be at least 128 bits long to prevent brute-force session guessing attacks.","A2 Broken Authentication and Session Management","6","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_insufficient_session_id_length.html"
"184"," J2EE Misconfiguration: Invalid Servlet Name","  An invalid servlet name can prevent legitimate access to the intended Servlet.","A5 Security Misconfiguration","730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_invalid_servlet_name.html"
"185"," J2EE Misconfiguration: Missing Authentication Method","  Security and authorization constraints will fail without a login configuration.","A5 Security Misconfiguration","730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_authentication_method.html"
"186"," J2EE Misconfiguration: Missing Data Transport Constraint","  A security constraint that does not specify a user data constraint cannot guarantee that restricted resources will be protected at the transport layer.","A5 Security Misconfiguration","5","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_data_transport_constraint.html"
"187"," J2EE Misconfiguration: Missing Error Handling","  A web application must define default error pages in order to prevent attackers from mining information from the application container's built-in error response.","A5 Security Misconfiguration","7","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_error_handling.html"
"188"," J2EE Misconfiguration: Missing Filter Definition","  Filter mappings that reference a non-existent filter will not be applied.","A5 Security Misconfiguration","730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_filter_definition.html"
"189"," J2EE Misconfiguration: Missing Security Role","  A security constraint that references a non-existent <code>role-name</code> prevents legitimate access to all resources it protects.","A5 Security Misconfiguration","730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_security_role.html"
"190"," J2EE Misconfiguration: Missing Servlet Mapping","  A Servlet defined in <code>web.xml</code> cannot be accessed without a corresponding servlet mapping.","A5 Security Misconfiguration","730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_missing_servlet_mapping.html"
"191"," J2EE Misconfiguration: Unsafe Bean Declaration","  Entity beans should not be declared remote.","A5 Security Misconfiguration","8","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_unsafe_bean_declaration.html"
"192"," J2EE Misconfiguration: Weak Access Permissions","  Permission to invoke EJB methods should not be granted to the <code>ANYONE</code> role.","A5 Security Misconfiguration","9","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/j2ee_misconfiguration_weak_access_permissions.html"
"193"," Password Management: Empty Password in Configuration File","  Using an empty string as a password is insecure.","A6 Sensitive Data Exposure","258","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/password_management_empty_password_in_configuration_file.html"
"194"," Password Management: Password in Configuration File","  Storing a plaintext password in a configuration file may result in a system compromise.","A6 Sensitive Data Exposure","13,260,555","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/password_management_password_in_configuration_file.html"
"195"," Struts Misconfiguration: Duplicate Form Bean","  Multiple <code>form-bean</code> entries with the same name exist. Duplicate <code>form-bean</code> names often indicate left over debug code or a typographical error.","A5 Security Misconfiguration","694","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_duplicate_form_bean.html"
"196"," Struts Misconfiguration: Invalid Path","  Invalid path entries prevent Struts from locating the correct resource to service requests.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_invalid_path.html"
"197"," Struts Misconfiguration: Missing Action Input","  It is an error to omit the <code>input</code> attribute for named Struts actions that can return validation errors..","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_action_input.html"
"198"," Struts Misconfiguration: Missing Exception Type","  An <code>&lt;exception&gt;</code> tag that does not contain a <code>type</code> attribute will not be used.","A5 Security Misconfiguration","248","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_exception_type.html"
"199"," Struts Misconfiguration: Missing Form Bean","  A Struts <code>action</code> that points to a nonexistent <code>form-bean</code> will not be mapped correctly.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_form_bean.html"
"200"," Struts Misconfiguration: Missing Form Bean Name","  A <code>form-bean</code> without a <code>name</code> attribute will not be used.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_form_bean_name.html"
"201"," Struts Misconfiguration: Missing Form Bean Type","  A <code>form-bean</code> without a <code>type</code> attribute will not be mapped correctly.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_form_bean_type.html"
"202"," Struts Misconfiguration: Missing Form Property Type","  It is an error to define a <code>form-property</code> without a <code>type</code> type attribute.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_form_property_type.html"
"203"," Struts Misconfiguration: Missing Forward Name","  A <code>&lt;forward&gt;</code> tag with a missing <code>name</code> attribute often indicates leftover debug code or a typographical error.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_forward_name.html"
"204"," Struts Misconfiguration: Missing Forward Path","  A <code>&lt;forward&gt;</code> tag with a missing <code>path</code> attribute often indicates leftover debug code or a typographical error.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/struts_misconfiguration_missing_forward_path.html"
"205"," WebSphere Misconfiguration: Missing Nonce","  A SOAP message with a timestamp that does not expire is vulnerable to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_misconfiguration_missing_nonce.html"
"206"," WebSphere Misconfiguration: Servlets Served By Class Name","  The application is configured to allow WebSphere to serve Servlets by their class names.","A5 Security Misconfiguration",NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_misconfiguration_servlets_served_by_class_name.html"
"207"," WebSphere Service Provider Misconfiguration: Inbound WS-Security Not Enabled","  Service providers that don't use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_inbound_ws-security_not_enabled.html"
"208"," WebSphere Service Provider Misconfiguration: Missing Inbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_inbound_encryption.html"
"209"," WebSphere Service Provider Misconfiguration: Missing Inbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_inbound_signature.html"
"210"," WebSphere Service Provider Misconfiguration: Missing Inbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_inbound_timestamp.html"
"211"," WebSphere Service Provider Misconfiguration: Missing Outbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_outbound_encryption.html"
"212"," WebSphere Service Provider Misconfiguration: Missing Outbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","245","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_outbound_signature.html"
"213"," WebSphere Service Provider Misconfiguration: Missing Outbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_outbound_timestamp.html"
"214"," WebSphere Service Provider Misconfiguration: Missing Timestamp Expiration","  A SOAP message with a timestamp that does not expire is vulnerable to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_missing_timestamp_expiration.html"
"215"," WebSphere Service Provider Misconfiguration: Outbound WS-Security Not Enabled","  Service providers that don't use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_outbound_ws-security_not_enabled.html"
"216"," WebSphere Service Provider Misconfiguration: Unsigned Inbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_unsigned_inbound_timestamp.html"
"217"," WebSphere Service Provider Misconfiguration: Unsigned Outbound Timestamp","  An unsigned timestamp can leave a SOAP message open to tampering and replay attacks.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_unsigned_outbound_timestamp.html"
"218"," WebSphere Service Provider Misconfiguration: Weak Token","  Using a UsernameToken with a plaintext password over an unencrypted channel exposes the password to attackers who can sniff the SOAP messages.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_provider_misconfiguration_weak_token.html"
"219"," WebSphere Service Requester Misconfiguration: Inbound WS-Security Not Enabled","  Requests that do not use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_inbound_ws-security_not_enabled.html"
"220"," WebSphere Service Requester Misconfiguration: Missing Inbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_inbound_encryption.html"
"221"," WebSphere Service Requester Misconfiguration: Missing Inbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_inbound_signature.html"
"222"," WebSphere Service Requester Misconfiguration: Missing Inbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_inbound_timestamp.html"
"223"," WebSphere Service Requester Misconfiguration: Missing Outbound Encryption","  Unencrypted messages fail to protect confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_outbound_encryption.html"
"224"," WebSphere Service Requester Misconfiguration: Missing Outbound Signature","  A missing signature means the integrity of a SOAP message cannot be guaranteed.","A5 Security Misconfiguration","345","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_outbound_signature.html"
"225"," WebSphere Service Requester Misconfiguration: Missing Outbound Timestamp","  A missing timestamp can leave a SOAP message open to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_outbound_timestamp.html"
"226"," WebSphere Service Requester Misconfiguration: Missing Timestamp Expiration","  A SOAP message with a timestamp that does not expire is vulnerable to replay attacks.","A5 Security Misconfiguration","254","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_missing_timestamp_expiration.html"
"227"," WebSphere Service Requester Misconfiguration: Outbound WS-Security Not Enabled","  Requests that do not use WS-Security make it hard to guarantee message integrity or confidentiality.","A5 Security Misconfiguration","311","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/websphere_service_requester_misconfiguration_outbound_ws-security_not_enabled.html"
